message,label,category
Your OTP for PNB net banking login is 4829. Do not share this with anyone,safe,otp
"Your salary of Rs 2,25,000 has been credited to your HDFC account ending 4521",safe,general
"Dear Divya, your doctor's appointment is confirmed for tomorrow 11am",safe,general
"Payment of Rs 99,999 sent successfully to Anitha via Paytm. Reference number 234567890",safe,upi_fraud
"Final notice: pay Rs 45,000 immediately or legal action will be taken against you under IT Act",scam,phishing
IRS/Income tax notice: You owe Rs 45000 in unpaid taxes. Pay immediately to avoid arrest,scam,phishing
"Get a loan up to Rs 10,00,000 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
Your UPI payment of Rs 9999 failed. Click here to retry and get cashback http://upi-cashback.link,scam,upi_fraud
Your bank statement for September is now available on net banking portal,safe,general
"Hi Ramesh, are we still meeting for lunch tomorrow?",safe,general
Your Aadhaar linked to Bank of Baroda will be deactivated in immediately. Update now to avoid deactivation,scam,phishing
"Myntra is hiring part-time data entry staff, salary Rs 5,00,000/month, pay Rs 1500 for training kit",scam,job
"Your Flipkart subscription renews on the 1st, no action needed",safe,general
"Your salary of Rs 45,000 has been credited to your account ending 4521",safe,general
Your order from PhonePe has been shipped and will arrive by Thursday,safe,general
"Join our trading group and earn Rs 10,00,000 daily with guaranteed profit, no risk involved",scam,investment
"Instant personal loan of Rs 25,000 approved! No documents needed, click to receive in your account",scam,loan
"Reminder: your HDFC EMI of Rs 45,000 is due on the 5th of this month",safe,general
"Work from home opportunity! Earn Rs 45,000 weekly, just pay Rs 999 registration fee to start",scam,job
"Congratulations Ramesh, you are selected for a job at Amazon. Pay Rs 2000 verification fee to confirm",scam,job
"Your PF account has been updated with new UAN number, login to check balance",safe,general
"Get a loan up to Rs 2,25,000 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
Your ICICI statement for this month is now available on net banking,safe,general
"Your Netflix subscription renews on the 1st, no action needed",safe,general
Your vaccination certificate is ready for download from official Cowin portal,safe,general
Your OTP for SBI net banking login is 4829. Do not share this with anyone,safe,otp
"Work from home opportunity! Earn Rs 99,999 weekly, just pay Rs 999 registration fee to start",scam,job
"Your mutual fund SIP of Rs 1,50,000 has been debited successfully this month",safe,investment
"Reminder: your Axis Bank EMI of Rs 5,00,000 is due on the 5th of this month",safe,general
"Your income tax refund of Rs 15,750 is ready. Verify your bank account details to receive it: http://tax-refund-in.co",scam,phishing
"Your water bill payment of Rs 5,000 was successful, thank you",safe,general
"Your Google Pay account is temporarily suspended, click here to reactivate with your bank login credentials",scam,phishing
"Congratulations! You have won Rs 1,50,000 in Swiggy lucky draw. Click here to claim now",scam,lottery
"Dear user, your SIM card will be blocked in 24 hours, re-verify your details by calling this number urgently",scam,phishing
Ola customer support: share your OTP to verify your order and avoid cancellation,scam,otp
"Your Paytm order has been delivered, rate your experience in the app",safe,general
"Never share your OTP, PIN, or CVV with anyone, even if they claim to be from the bank",safe,awareness
"Dear Priya, your number has been selected for a cash prize of Rs 88,000. Call now to claim",scam,lottery
"Hi Lakshmi, are we still meeting for lunch tomorrow?",safe,general
"Payment of Rs 25,000 sent successfully to Meena via BHIM UPI. Reference number 234567890",safe,upi_fraud
"You are pre-approved for a credit card with Rs 5,00,000 limit, click to apply now no documents",scam,loan
"Your OTP is required to process your Rs 12,500 cashback. Reply with the OTP you received",scam,otp
"Payment of Rs 5,00,000 sent successfully to Meena via GPay. Reference number 234567890",safe,upi_fraud
"Invest Rs 5,00,000 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
Your parcel from Paytm is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
"Your water bill payment of Rs 25,000 was successful, thank you",safe,general
"Your GPay payment of Rs 5,00,000 failed. Click here to retry and receive instant cashback",scam,upi_fraud
"Share your OTP to receive a refund of Rs 45,000 from Swiggy",scam,otp
URGENT: Your Axis Bank debit card has been suspended. Verify your details now to reactivate,scam,phishing
URGENT: Your Canara Bank debit card has been suspended. Verify your details now to reactivate,scam,phishing
"Share your OTP to receive a refund of Rs 88,000 from Myntra",scam,otp
"Your salary of Rs 12,500 has been credited to your ICICI account ending 4521",safe,general
"Share your OTP to receive a refund of Rs 99,999 from Amazon",scam,otp
"You have received Rs 10,00,000 via Amazon Pay. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
"Get a loan up to Rs 12,500 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
"Congratulations! You have won Rs 5,000 in Zomato lucky draw. Click here to claim now",scam,lottery
"Your salary of Rs 88,000 has been credited to your ICICI account ending 4521",safe,general
"Your mutual fund SIP of Rs 88,000 has been debited successfully this month",safe,investment
Get personal loan up to 5 lakhs at 2% interest only for today. Apply now via link,scam,loan
Your OTP for bank transaction is 483920. Do not share with anyone. If you did not request this call 1800-XXX,safe,otp
Your OTP for Bank of Baroda net banking login is 4829. Do not share this with anyone,safe,otp
"PhonePe is hiring part-time data entry staff, salary Rs 25,000/month, pay Rs 1500 for training kit",scam,job
"Dear Anitha, your electricity connection will be disconnected in today due to unpaid bill. Pay now via link",scam,phishing
"Dear Ramesh, your electricity connection will be disconnected in 10 minutes due to unpaid bill. Pay now via link",scam,phishing
Your Canara Bank statement for this month is now available on net banking,safe,general
"CONGRATULATIONS you have been chosen for a free vacation package to Goa worth Rs 50000, click to claim",scam,lottery
"Final notice: pay Rs 5,00,000 immediately or legal action will be taken against you under IT Act",scam,phishing
"Hurry! Only 2 seats left in this govt job vacancy, apply by paying Rs 500 registration fee now",scam,job
"Final notice: pay Rs 25,000 immediately or legal action will be taken against you under IT Act",scam,phishing
"Your interview at PhonePe is scheduled for Monday 10am, please carry your resume",safe,job
"Dear Sir, your policy premium of Rs 12000 is due on 20th. Pay via official app or branch",safe,general
"Team, don't forget the project submission deadline is this Friday",safe,general
Your order from Flipkart has been shipped and will arrive by Thursday,safe,general
"Your loan of Rs 10,00,000 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
"Your flight is confirmed, check-in opens 48 hours before departure",safe,general
"Congratulations Suresh, you are selected for a job at Zomato. Pay Rs 2000 verification fee to confirm",scam,job
PhonePe customer support: share your OTP to verify your order and avoid cancellation,scam,otp
"Work from home opportunity! Earn Rs 5,00,000 weekly, just pay Rs 999 registration fee to start",scam,job
"Get a loan up to Rs 5,00,000 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
Your HDFC account will be blocked in 1 hour. Update your KYC immediately by clicking this link,scam,phishing
"Your account has been credited with unclaimed refund of Rs 12,450. Share OTP to process refund",scam,otp
"Your mutual fund SIP of Rs 25,000 has been debited successfully this month",safe,investment
"Join our trading group and earn Rs 88,000 daily with guaranteed profit, no risk involved",scam,investment
"Your Bank of Baroda locker rent of Rs 10,00,000 is due, please pay at the nearest branch",safe,general
Your interview is scheduled for Monday 10am at our office. Please carry your resume and ID proof,safe,job
"Your OTP is required to process your Rs 5,000 cashback. Reply with the OTP you received",scam,otp
Your Kotak Bank account will be blocked in today. Update your KYC immediately by clicking this link,scam,phishing
"Get a loan up to Rs 1,50,000 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
"Your college semester fee payment of Rs 45000 has been received, receipt attached",safe,general
"Your mutual fund SIP of Rs 99,999 has been debited successfully this month",safe,investment
"Dear investor, double your money in 7 days guaranteed! Invest now in our crypto scheme",scam,investment
"Invest Rs 12,500 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
"Your bank locker rent of Rs 2000 is due, pay at nearest branch by month end",safe,general
"We are hiring data entry operators, salary Rs 45000/month, no experience needed, pay Rs 999 registration",scam,job
"Congratulations Arjun, you are selected for a job at Google. Pay Rs 2000 verification fee to confirm",scam,job
"Dear Arjun, your doctor's appointment is confirmed for tomorrow 11am",safe,general
"Congratulations! Your mobile number has won Rs 10,00,000 in KBC lucky draw 2025 organized by Google",scam,lottery
"Reminder: your Bank of Baroda EMI of Rs 5,000 is due on the 5th of this month",safe,general
"Get a loan up to Rs 45,000 at 1% interest, no CIBIL check required. Apply now via this link",scam,loan
"Your number has been randomly selected for a cash prize of $10,000 from Microsoft lottery",scam,lottery
Your Aadhaar linked to ICICI will be deactivated in 24 hours. Update now to avoid deactivation,scam,phishing
Your order from Amazon has been shipped and will arrive by Thursday,safe,general
"Your Paytm payment of Rs 12,500 failed. Click here to retry and receive instant cashback",scam,upi_fraud
"Alert: unauthorised login attempt detected on your account from new device, if this wasn't you reset your password",safe,awareness
"Your Netflix order has been delivered, rate your experience in the app",safe,general
Myntra customer support: share your OTP to verify your order and avoid cancellation,scam,otp
Your PF withdrawal of Rs 85000 is approved. Click link to update bank details and receive amount,scam,phishing
Your Bank of Baroda account will be blocked in 24 hours. Update your KYC immediately by clicking this link,scam,phishing
"Join our trading group and earn Rs 5,00,000 daily with guaranteed profit, no risk involved",scam,investment
Your Aadhaar linked to ICICI will be deactivated in 1 hour. Update now to avoid deactivation,scam,phishing
"Hi Priya, are we still meeting for lunch tomorrow?",safe,general
"Never share your CVV, PIN or OTP with anyone including bank staff. Banks never ask for this",safe,awareness
"You have received Rs 12,500 via BHIM UPI. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
"Dear Ramesh, your doctor's appointment is confirmed for tomorrow 11am",safe,general
Your card ending 4532 was used for Rs 2500 at Flipkart on 12-Sep. Not you? Call 1800-XXX-XXXX,safe,otp
Your HDFC statement for this month is now available on net banking,safe,general
Your parcel from Zomato is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
"Job alert: Immediate joining, salary 60k/month, WFH, no interview needed, just pay Rs 2000 verification fee",scam,job
Your parcel from Swiggy is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
"Hi Karthik, are we still meeting for lunch tomorrow?",safe,general
"Update: your delivery address could not be confirmed, click to update and avoid Rs 200 penalty",scam,phishing
"Dear customer, your PhonePe account shows suspicious activity. Verify immediately or lose access",scam,phishing
"Your recharge of Rs 199 was successful, validity extended till next month",safe,general
"Congratulations! You have won Rs 10,00,000 in Ola lucky draw. Click here to claim now",scam,lottery
"Your mutual fund SIP of Rs 5,00,000 has been debited successfully this month",safe,investment
"Hi Meena, are we still meeting for lunch tomorrow?",safe,general
Your parcel from Flipkart is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
"Your Ola subscription renews on the 1st, no action needed",safe,general
"Team, don't forget the project submission deadline is this Friday, please push your code by EOD",safe,general
"Your ATM card has been blocked due to 3 failed attempts, visit branch with ID proof to unblock",safe,general
Your order from Netflix has been shipped and will arrive by Thursday,safe,general
You've been selected as lucky winner for Flipkart Big Billion Sale voucher worth Rs 10000. Claim now,scam,lottery
"Your loan of Rs 88,000 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
URGENT: Your Bank of Baroda debit card has been suspended. Verify your details now to reactivate,scam,phishing
"Reminder: your ICICI EMI of Rs 5,000 is due on the 5th of this month",safe,general
"Work from home opportunity! Earn Rs 25,000 weekly, just pay Rs 999 registration fee to start",scam,job
"Netflix is hiring part-time data entry staff, salary Rs 2,25,000/month, pay Rs 1500 for training kit",scam,job
Payment of Rs 500 sent successfully to Ramesh Kumar via GPay. Ref no 234567890123,safe,upi_fraud
"Your interview at Myntra is scheduled for Monday 10am, please carry your resume",safe,job
"Payment of Rs 12,500 sent successfully to Priya via BHIM UPI. Reference number 234567890",safe,upi_fraud
"Dear Karthik, your doctor's appointment is confirmed for tomorrow 11am",safe,general
Your child's school fee payment reminder: Rs 15000 due by 30th this month,safe,general
"Your OTP is required to process your Rs 1,50,000 cashback. Reply with the OTP you received",scam,otp
Reminder: Your electricity bill payment of Rs 1240 was successful. Thank you,safe,general
"Paytm is hiring part-time data entry staff, salary Rs 99,999/month, pay Rs 1500 for training kit",scam,job
"Dear customer, your parcel is held at customs. Pay Rs 350 custom duty to release. Click link",scam,phishing
"Invest Rs 25,000 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
Your Aadhaar linked to Bank of Baroda will be deactivated in today. Update now to avoid deactivation,scam,phishing
"You've won a free Netflix gift card worth Rs 25,000! Click the link before it expires",scam,lottery
"Your PhonePe payment of Rs 5,000 failed. Click here to retry and receive instant cashback",scam,upi_fraud
Your ICICI account will be blocked in 24 hours. Update your KYC immediately by clicking this link,scam,phishing
"Your OTP is required to process your Rs 88,000 cashback. Reply with the OTP you received",scam,otp
"Dear Karthik, your electricity connection will be disconnected in immediately due to unpaid bill. Pay now via link",scam,phishing
"Payment of Rs 99,999 sent successfully to Ramesh via BHIM UPI. Reference number 234567890",safe,upi_fraud
Congratulations you are selected for Amazon part time job. Send Aadhar and pay Rs 1500 for kit,scam,job
"Your Zomato order has been delivered, rate your experience in the app",safe,general
"BREAKING: Get a govt job without exam, just pay Rs 3000 for guaranteed selection, limited time offer",scam,job
"Your Amazon Pay payment of Rs 12,500 failed. Click here to retry and receive instant cashback",scam,upi_fraud
Your order #4521 has been shipped and will arrive by Thursday. Track at official Amazon app,safe,general
Dear customer your EMI of Rs 3200 is due on 5th. Please ensure sufficient balance in account,safe,loan
"Your interview at Google is scheduled for Monday 10am, please carry your resume",safe,job
URGENT: Your SBI debit card has been suspended. Verify your details now to reactivate,scam,phishing
FINAL NOTICE: Pay Rs 5000 immediately or legal action will be taken against you under IT act,scam,phishing
Zomato customer support: share your OTP to verify your order and avoid cancellation,scam,otp
"Your Swiggy subscription renews on the 1st, no action needed",safe,general
"Your PhonePe order has been delivered, rate your experience in the app",safe,general
This account will self-destruct if you don't forward this message to 10 people immediately,scam,phishing
"Your PF account has been updated with your new UAN number, login to check your balance",safe,general
"Your interview at Amazon is scheduled for Monday 10am, please carry your resume",safe,job
"Dear Lakshmi, your electricity connection will be disconnected in 1 hour due to unpaid bill. Pay now via link",scam,phishing
"You've won a free Zomato gift card worth Rs 1,50,000! Click the link before it expires",scam,lottery
"Your loan of Rs 1,50,000 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
"Invest Rs 1,50,000 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
"Dear customer your KBC lottery prize of Rs 25,00,000 has been selected. Call +91XXXXXXXXXX to claim now",scam,lottery
"Congratulations! You have won Rs 10,00,000 in PhonePe lucky draw. Click here to claim now",scam,lottery
This is to confirm your OTP 5521 for verifying your new device. Never share it with anyone,safe,otp
URGENT: Your SBI account will be blocked today. Update your KYC immediately by clicking http://bit.ly/sbi-kyc,scam,phishing
"Hi Vijay, are we still meeting for lunch tomorrow?",safe,general
"Your PhonePe payment of Rs 12,500 failed. Click here to retry and receive instant cashback",scam,upi_fraud
"Your Axis Bank locker rent of Rs 45,000 is due, please pay at the nearest branch",safe,general
"Instant personal loan of Rs 2,25,000 approved! No documents needed, click to receive in your account",scam,loan
"Dear Priya, your number has been selected for a cash prize of Rs 12,500. Call now to claim",scam,lottery
"Dear Meena, your doctor's appointment is confirmed for tomorrow 11am",safe,general
"Your Paytm subscription renews on the 1st, no action needed",safe,general
"Your water bill payment of Rs 1,50,000 was successful, thank you",safe,general
Your parcel from Netflix is held at customs. Pay Rs 350 duty immediately to release it,scam,phishing
Your Aadhaar card will be deactivated. Verify now at http://aadhar-verify-now.in or lose benefits,scam,phishing
"Your WhatsApp will expire today, click this link to continue using WhatsApp for free",scam,phishing
"Your water bill payment of Rs 12,500 was successful, thank you",safe,general
Your Bank of Baroda account will be blocked in 30 minutes. Update your KYC immediately by clicking this link,scam,phishing
"Payment of Rs 12,500 sent successfully to Meena via Paytm. Reference number 234567890",safe,upi_fraud
Your PNB statement for this month is now available on net banking,safe,general
Your OTP for ICICI net banking login is 4829. Do not share this with anyone,safe,otp
"Share your OTP to receive a refund of Rs 5,00,000 from Zomato",scam,otp
"Congratulations Arjun, you are selected for a job at Myntra. Pay Rs 2000 verification fee to confirm",scam,job
"PhonePe is hiring part-time data entry staff, salary Rs 2,25,000/month, pay Rs 1500 for training kit",scam,job
Your ICICI account will be blocked in 2 hours. Update your KYC immediately by clicking this link,scam,phishing
"You have received Rs 25,000 via PhonePe. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
Dear user your electricity bill is pending. Pay immediately or power will be disconnected tonight. Click link,scam,phishing
Your order from Paytm has been shipped and will arrive by Thursday,safe,general
"Hi, can you send me the report by EOD? Thanks",safe,general
"Your loan of Rs 99,999 is ready for disbursement. Pay a processing fee of Rs 2999 to release it",scam,loan
"Instant personal loan of Rs 99,999 approved! No documents needed, click to receive in your account",scam,loan
"Work from home opportunity! Earn Rs 88,000 weekly, just pay Rs 999 registration fee to start",scam,job
Your OTP for Axis Bank net banking login is 4829. Do not share this with anyone,safe,otp
URGENT: Your Netflix subscription payment failed. Update payment details to avoid suspension http://netflix-billing-update.com,scam,phishing
"Final notice: pay Rs 10,00,000 immediately or legal action will be taken against you under IT Act",scam,phishing
"Your water bill payment of Rs 2,25,000 was successful, thank you",safe,general
Your Axis Bank statement for this month is now available on net banking,safe,general
"Your Bank of Baroda locker rent of Rs 1,50,000 is due, please pay at the nearest branch",safe,general
"Your Bank of Baroda locker rent of Rs 12,500 is due, please pay at the nearest branch",safe,general
Your credit card has been charged Rs 25999 for Amazon purchase. If not done by you call this number,scam,phishing
"Your interview at Paytm is scheduled for Monday 10am, please carry your resume",safe,job
"Your PAN card is linked successfully with Aadhaar, no further action needed",safe,general
"Invest Rs 88,000 today and double your money in 7 days, guaranteed returns with zero risk",scam,investment
Your mutual fund SIP of Rs 5000 has been debited successfully for this month,safe,investment
Amazon customer support: share your OTP to verify your order and avoid cancellation,scam,otp
"Instant personal loan of Rs 12,500 approved! No documents needed, click to receive in your account",scam,loan
"Dear Karthik, your electricity connection will be disconnected in today due to unpaid bill. Pay now via link",scam,phishing
"Share your OTP to receive a refund of Rs 10,00,000 from Amazon",scam,otp
"Instant personal loan of Rs 1,50,000 approved! No documents needed, click to receive in your account",scam,loan
"Dear customer, your Paytm account shows suspicious activity. Verify immediately or lose access",scam,phishing
"Dear Karthik, your electricity connection will be disconnected in 10 minutes due to unpaid bill. Pay now via link",scam,phishing
"Dear Anitha, your doctor's appointment is confirmed for tomorrow 11am",safe,general
"You have received Rs 2000 via UPI. To claim, enter your UPI PIN on this link",scam,upi_fraud
"Dear Lakshmi, your number has been selected for a cash prize of Rs 99,999. Call now to claim",scam,lottery
Please find attached the minutes of yesterday's meeting for your reference,safe,general
"Join our trading group and earn Rs 45,000 daily with guaranteed profit, no risk involved",scam,investment
"You have received Rs 88,000 via GPay. Enter your UPI PIN on this link to accept the payment",scam,upi_fraud
Your OTP for HDFC net banking login is 4829. Do not share this with anyone,safe,otp
"Hi mom, I'll be home by 7pm today, don't wait for dinner",safe,general
"Share your OTP to receive a refund of Rs 45,000 from Amazon",scam,otp
Share your OTP to receive cashback of Rs 500 instantly. Offer valid for next 10 minutes only,scam,otp
"Your flight PNR XYZ123 is confirmed for 15th Dec, Chennai to Delhi, departure 6:30am",safe,general
Congratulations! You have won 1 crore in Whatsapp lucky draw. Send your bank details to claim prize,scam,lottery
"Your interview at Ola is scheduled for Monday 10am, please carry your resume",safe,job
"Dear customer, your Amazon Pay account shows suspicious activity. Verify immediately or lose access",scam,phishing
"Your Uber trip receipt: Rs 145 for trip to MG Road, thank you for riding with us",safe,general
"Your HDFC locker rent of Rs 88,000 is due, please pay at the nearest branch",safe,general
"HR Team: Your offer letter has been sent to your registered email, please review and sign",safe,job
"Your OTP is required to process your Rs 2,25,000 cashback. Reply with the OTP you received",scam,otp
"Get instant personal loan without any documents, CIBIL score not required, apply now",scam,loan
